Feature Importance
"Deck size" 0.1749190200530908
"Remaining life tokens" 0.10024410271129996
Fireworks_Y 0.08465947919729319
Actual_P2_R1 0.07277447045609797
Fireworks_R 0.062414117635972335
Actual_P2_Y2 0.051015695414085044
Actual_P2_R2 0.047322038470835645
"Remaining info tokens" 0.03951355755138167
Actual_P2_Y3 0.02579704289205707
P2_Y1 0.024230387326348458
Actual_P2_Y1 0.02417564029219939
P1_R4 0.020965517028009768
Actual_P2_R5 0.017531516143204723
Discarded_R1 0.015660321729720636
P1_Y4 0.015336509392617758
P2_R1 0.013799794616353672
Discarded_Y2 0.013782686060219162
Discarded_R5 0.013568672475520724
Actual_P2_R3 0.013450296507872297
Discarded_R2 0.01245179892127753
Discarded_Y5 0.011550729249321686
P2_R4 0.011398937145551282
Discarded_Y1 0.011298805556928372
P1_R2 0.01081767853710887
Discarded_R4 0.009426396967366414
P1_Y1 0.009058721483973983
P2_Y4 0.008945091086252745
P2_Y2 0.00800507121943029
P2_Y3 0.007727037253803079
P2_R2 0.007659706138155144
P1_Y3 0.007130139305526053
Discarded_R3 0.006894772054095526
Discarded_Y4 0.006753475513046211
P1_R1 0.006562640764622229
P1_R3 0.005770361117477653
P1_Y2 0.004419828855610968
P1_R5 0.004236740890476176
P2_Y5 0.004135001883299289
Discarded_Y3 0.003713737126904683
P2_R3 0.003508890121323002
Actual_P2_Y4 0.003067119046132646
Actual_P2_R4 0.002960963609463489
Actual_P2_Y5 0.0011886360428853538
P1_Y5 0.0001568541557870563
P2_R5 0.0
