Feature Importance
"Deck size" 0.37329185892983313
"Remaining info tokens" 0.09739469930309436
P1_pos_1_R2 0.048647614512763185
Fireworks_R 0.040257966898473115
P1_pos_1_Y1 0.03826574817517363
Discarded_Y2 0.035844926238515123
P1_pos_1_Y2 0.030742422985073334
"Remaining life tokens" 0.027441745543755575
P1_pos_2_Y1 0.025869093999020168
Discarded_Y1 0.02488567981950706
Fireworks_Y 0.023720902836320567
P1_pos_4_Y1 0.0188592848137023
P1_pos_0_Y1 0.018186390954896832
Discarded_R2 0.016911659605047563
P1_pos_3_R2 0.015306591768096149
Discarded_R1 0.014136572662040837
P1_pos_0_R2 0.013183262728264249
P1_pos_0_R1 0.010279949169668571
P1_pos_3_Y2 0.010030410324941548
P1_pos_1_R1 0.009168467555737863
P2_pos_0_R2 0.008306377976799792
P1_pos_4_R1 0.008021815358697804
P2_pos_2_Y1 0.007079643631573426
Discarded_Y4 0.006633767956989527
Discarded_R3 0.006360731987132107
P1_pos_3_Y1 0.004859259582094526
Actual_P2_R1 0.0037749608508973872
Actual_P2_Y2 0.0034539518365386567
Actual_P2_Y1 0.003391045007867791
Actual_P2_R2 0.00323122022701301
Actual_P2_R5 0.0031775631682692306
P1_pos_2_R1 0.0027825400091791136
P1_pos_3_R1 0.0027808769269356075
P1_pos_0_Y2 0.002568655939777227
Actual_P2_R3 0.0022514891544912234
Actual_P2_R4 0.0018829965097942236
P1_pos_3_R3 0.0018461400685230087
P1_pos_2_R3 0.0018143756342268184
P1_pos_4_R3 0.0017027991633512608
P1_pos_4_R2 0.0016283183426497984
Actual_P2_Y5 0.0015411543744820364
Discarded_Y3 0.001515592836678885
P1_pos_0_R3 0.0014349777257028806
Discarded_R4 0.0014000190814039482
P1_pos_1_Y3 0.001279979087766796
P2_pos_0_Y4 0.0012329685350490158
Actual_P2_Y3 0.001202437773843744
P2_pos_2_Y3 0.0011731004120287866
P2_pos_1_R2 0.0011562940585539841
Discarded_R5 0.0010863604737324174
P1_pos_0_Y4 0.001067363200788336
Actual_P2_Y4 0.0010015069066230144
P2_pos_2_R3 0.0009953831614329459
Discarded_Y5 0.0009867258847089501
P1_pos_3_R4 0.0009576819051826423
P2_pos_3_R3 0.0009079047852598495
P2_pos_3_R1 0.0008893286735088731
P2_pos_1_Y2 0.0008556926707684878
P1_pos_2_Y2 0.0008375313144627495
P2_pos_4_R2 0.0007978297989763279
P1_pos_2_R2 0.0007803034367465221
P2_pos_1_Y4 0.0007717091643833727
P2_pos_3_R4 0.0006254138733630257
P1_pos_0_R5 0.0006187210501989457
P1_pos_1_R4 0.0006153762066823137
P1_pos_0_Y5 0.0005655660985578874
P1_pos_3_Y4 0.0005059939926166448
P1_pos_4_Y4 0.0005058286238891589
P2_pos_3_Y1 0.0004306276358475926
P2_pos_1_Y1 0.0004037212093591556
P1_pos_2_R4 0.0003758521517901429
P2_pos_2_Y4 0.00037553473388542635
P2_pos_4_R1 0.00032299144126544607
P2_pos_0_Y2 0.00029637415352464863
P1_pos_1_Y5 0.00029208028101932295
P1_pos_3_Y3 0.00013422881017697007
P2_pos_2_R2 8.606631901201883e-05
P2_pos_1_R3 0.0
P2_pos_0_R4 0.0
P2_pos_4_R5 0.0
P1_pos_2_Y5 0.0
P2_pos_2_Y2 0.0
P2_pos_1_Y5 0.0
P2_pos_1_R5 0.0
P2_pos_3_R5 0.0
P1_pos_4_Y3 0.0
P1_pos_4_Y2 0.0
P1_pos_1_R3 0.0
P1_pos_4_R4 0.0
P1_pos_2_Y3 0.0
P1_pos_0_Y3 0.0
P2_pos_0_R5 0.0
P2_pos_3_Y5 0.0
P2_pos_4_Y3 0.0
P2_pos_2_R5 0.0
P1_pos_2_Y4 0.0
P1_pos_4_Y5 0.0
P1_pos_0_R4 0.0
P1_pos_3_R5 0.0
P1_pos_4_R5 0.0
P1_pos_1_R5 0.0
P2_pos_0_Y5 0.0
P2_pos_2_R1 0.0
P2_pos_3_Y3 0.0
P2_pos_4_R4 0.0
P2_pos_0_Y3 0.0
P2_pos_1_Y3 0.0
P2_pos_4_Y1 0.0
P2_pos_2_Y5 0.0
P2_pos_3_R2 0.0
P2_pos_0_R1 0.0
P2_pos_4_R3 0.0
P2_pos_2_R4 0.0
P1_pos_3_Y5 0.0
P2_pos_1_R1 0.0
P2_pos_3_Y4 0.0
P2_pos_4_Y4 0.0
P2_pos_1_R4 0.0
P2_pos_4_Y5 0.0
P1_pos_2_R5 0.0
P2_pos_3_Y2 0.0
P1_pos_1_Y4 0.0
P2_pos_0_R3 0.0
P2_pos_4_Y2 0.0
P2_pos_0_Y1 0.0
