Feature Importance
"Deck size" 0.35216070815144085
"Remaining info tokens" 0.2185525531484094
Fireworks_R 0.0627201153097918
Fireworks_Y 0.05909357871800349
"Remaining life tokens" 0.04399234494451645
P1_Y1 0.03776211577734182
P1_Y2 0.0286198134184312
P1_R2 0.02562263269893424
P1_R1 0.022698084490702156
Actual_P2_R1 0.018319558412963552
Actual_P2_Y1 0.01665406701481376
Actual_P2_Y2 0.015346535679959965
Discarded_Y1 0.01458473253732183
Actual_P2_R2 0.014441439291447568
Discarded_R1 0.010458777061765638
P1_Y5 0.005680818617170956
P2_Y1 0.005089100301204849
P1_R4 0.0037259629782608636
P2_R2 0.003578334033780042
P2_Y3 0.0034429055379029735
P1_Y3 0.0032003034463413725
P2_Y2 0.0026527286353812828
P2_R1 0.002562468272111302
P2_Y5 0.002491029645441363
P2_Y4 0.0020177707502779603
P2_R4 0.001863057783582057
Actual_P2_Y3 0.0018356092660756639
P1_Y4 0.0018049688822363145
P2_R5 0.0016405929253673875
Actual_P2_R3 0.0015876943303008379
P1_R3 0.0015357431639174482
Actual_P2_Y4 0.0015230608108592807
P2_R3 0.001367447685637606
Discarded_Y2 0.001363574957585201
Actual_P2_R4 0.0013121455507187605
Actual_P2_Y5 0.0012941099920495476
Discarded_R2 0.001222311936663251
P1_R5 0.0010646210731103107
Discarded_Y3 0.0009027594640989515
Discarded_Y4 0.0008863131075055177
Discarded_R4 0.0008051360080808562
Actual_P2_R5 0.0007667501497485614
Discarded_R3 0.0007531715298441056
Discarded_R5 0.0005083934090991933
Discarded_Y5 0.0004940590998024171
