Feature Importance
"Remaining info tokens" 0.09148455975081773
Fireworks_Y 0.0865075691427682
Fireworks_R 0.06984590654111904
"Deck size" 0.06613707208406322
P1_pos_1_Y1 0.06586544506475668
P1_pos_0_R2 0.060440389186207054
P1_pos_1_R1 0.0600678754841245
P1_pos_3_R1 0.05647395587611006
P1_pos_3_Y1 0.052899908240421484
P1_pos_0_Y2 0.04361741610421878
P1_pos_2_Y1 0.030607879980317283
P1_pos_2_Y3 0.027637941610658603
P1_pos_0_R1 0.02683670734038577
P1_pos_2_R2 0.025241624737638368
P1_pos_0_Y1 0.021983494862936607
P1_pos_2_Y2 0.01969531935722391
P1_pos_4_Y1 0.011278677813387516
P1_pos_2_R1 0.010856343203146369
P1_pos_2_Y5 0.010473283890451764
"Remaining life tokens" 0.009937213866922584
P2_pos_4_Y1 0.009064368011043447
P1_pos_2_Y4 0.00890081691687384
P1_pos_2_R4 0.007033527791643749
Actual_P2_R1 0.005762757029020235
Actual_P2_Y1 0.005661450379690867
P1_pos_4_Y2 0.00531663580019494
P1_pos_1_R4 0.005053875309029723
P1_pos_2_R3 0.005030894121980082
P1_pos_0_Y4 0.0045802584119674986
P2_pos_2_Y1 0.004207880831026592
P1_pos_1_Y2 0.004041372658490631
P1_pos_4_R2 0.003689869908297608
Actual_P2_R2 0.003504763633880591
P2_pos_1_Y2 0.00320021317807262
P2_pos_2_Y5 0.0031964315609392573
Actual_P2_R3 0.0030946451593463196
Actual_P2_Y4 0.0030728282398378636
Discarded_Y1 0.003045319140091104
Actual_P2_Y3 0.002417146886227352
Discarded_R1 0.0024068702924877946
P2_pos_3_Y3 0.002373711403038932
P1_pos_0_Y3 0.0023258942280218633
P2_pos_1_Y3 0.0022337061148035905
Actual_P2_Y5 0.0020964369364764738
P2_pos_1_R4 0.0020219615844467437
Actual_P2_Y2 0.0019786368291136104
P2_pos_0_R2 0.001953484742870859
Actual_P2_R4 0.0019453742259732335
Actual_P2_R5 0.0019145084219641694
Discarded_R3 0.001910759250053485
Discarded_Y2 0.0019101298743651302
P1_pos_0_R3 0.0019028264219803058
P1_pos_0_R4 0.0017695798987153704
P2_pos_3_Y4 0.001724274293223787
P2_pos_0_Y4 0.001710020044620183
Discarded_R4 0.0016627104793985618
Discarded_Y3 0.0015685635675390967
P1_pos_1_Y3 0.0015596001020423123
P1_pos_4_R1 0.0015073443618798365
P1_pos_3_Y3 0.0014449653211744298
Discarded_R2 0.0012399104848749344
P2_pos_2_R1 0.0012308420971458111
Discarded_Y4 0.0011332942580521987
P1_pos_4_R4 0.001114717911668459
P2_pos_2_Y3 0.00106058014972146
P1_pos_1_R3 0.0010419724224911488
P1_pos_3_Y2 0.0010185128558183878
P2_pos_4_Y2 0.0009970158953247622
P1_pos_3_Y4 0.0009125502212561828
P2_pos_4_R4 0.0009099517284168097
P2_pos_0_R3 0.0008947256393441196
P1_pos_0_Y5 0.0007986913575753839
P2_pos_3_R2 0.0007410504395263042
Discarded_Y5 0.0007031266764253003
P1_pos_0_R5 0.0006989388298876744
P2_pos_0_Y2 0.0006360369604875565
P2_pos_1_Y1 0.0005432614814951276
P2_pos_3_Y2 0.0005262371123262386
P2_pos_3_Y1 0.000516943037588315
P2_pos_0_R5 0.0004892323860597036
P1_pos_1_Y4 0.0004622008338420597
P2_pos_4_Y4 0.00044141836606051123
P2_pos_2_R2 0.0004237884291977366
P1_pos_4_R3 0.00038474062213996705
P2_pos_0_Y3 0.0003748632213820733
P2_pos_4_R1 0.0003654653729671716
Discarded_R5 0.00034911078490843927
P2_pos_4_R2 0.00028684718518401706
P2_pos_0_R1 0.00025855380249078516
P2_pos_3_R3 0.0002494417103939626
P2_pos_4_Y3 0.00023616593447023287
P2_pos_1_Y4 0.00022264160152464177
P2_pos_0_Y1 0.00021380040144936544
P2_pos_3_R1 0.00020429008010279458
P1_pos_4_Y4 0.00015998137708441804
P1_pos_3_R2 0.00013965600755530905
P1_pos_4_Y5 9.839529299352466e-05
P2_pos_2_R4 6.541078737736943e-05
P1_pos_3_R3 5.7228804049581664e-05
P2_pos_2_Y4 5.106801021556288e-05
P2_pos_0_R4 2.179513024932586e-05
P2_pos_1_R2 2.0830116696728468e-05
P2_pos_3_R4 7.642448269244042e-06
P2_pos_2_R3 6.827258588780868e-06
P2_pos_1_R3 5.246975800763672e-06
P1_pos_1_Y5 0.0
P1_pos_3_R5 0.0
P1_pos_4_Y3 0.0
P2_pos_1_R1 0.0
P2_pos_4_Y5 0.0
P1_pos_4_R5 0.0
P1_pos_3_Y5 0.0
P2_pos_4_R3 0.0
P1_pos_1_R2 0.0
P2_pos_0_Y5 0.0
P1_pos_3_R4 0.0
P1_pos_1_R5 0.0
P2_pos_1_Y5 0.0
P2_pos_4_R5 0.0
P2_pos_3_Y5 0.0
P2_pos_2_R5 0.0
P2_pos_2_Y2 0.0
P2_pos_1_R5 0.0
P2_pos_3_R5 0.0
P1_pos_2_R5 0.0
