Feature Importance
Fireworks_R 0.2940137344367438
Fireworks_Y 0.2684310265285101
"Deck size" 0.12005464109242876
Actual_P2_R2 0.07293816280016131
"Remaining info tokens" 0.06613950601316103
Actual_P2_R1 0.04566409646913065
Actual_P2_Y2 0.041119384146527244
Actual_P2_Y1 0.03775470147147505
"Remaining life tokens" 0.007993996581008524
Actual_P2_R5 0.007806244631026997
Actual_P2_Y5 0.005288127451209834
Actual_P2_R3 0.0034412923745094116
Actual_P2_Y3 0.0033694099846879972
P2_R1 0.0030691554589529495
Actual_P2_R4 0.001835104516428452
Discarded_R1 0.0016511240794634487
P1_Y1 0.001489878675069972
P2_Y2 0.0014479089489369767
Discarded_Y1 0.0013901922411189349
P2_Y1 0.001376076153545337
P2_R4 0.0012302561221530445
P1_R4 0.001198890451098794
P1_R3 0.001023840587818885
Actual_P2_Y4 0.0009006355735682061
P2_R2 0.0007634876785932404
P1_Y3 0.0007576526967185438
P1_Y2 0.0007526481252000386
P1_R1 0.0007144522344693897
Discarded_R3 0.0006424336071341362
P2_R3 0.0006392388075766717
Discarded_R5 0.0006132632808614801
P1_Y4 0.0005955829847794903
Discarded_Y4 0.0005874182741384333
P2_R5 0.0005538313252187558
P2_Y3 0.0005036480957877138
P1_R2 0.00037731482814183355
Discarded_Y3 0.0003065795887221028
P2_Y4 0.00027685901863563244
P1_R5 0.00027216290129159317
P2_Y5 0.0002536057515566049
Discarded_Y5 0.00019173922778109953
Discarded_R4 0.00016439847787853195
Discarded_R2 0.00014940006679107904
Discarded_Y2 0.00013501200097208155
P1_Y5 0.0001218842390160068
